"","variable","label","type","range","missing","distribution"
"ParticipantNumber","ParticipantNumber","Unique participant ID","tiny_labelled, integer","",0,"▇▅▁▇▆▁▆▇"
"Location","Location","Data collection site (Cologne, Ghent, Harvard)","tiny_labelled, character","3",0,""
"Block","Block","Block of learning procedure (2)","tiny_labelled, integer","",0,"▁▁▁▇▁▁▁▁"
"ValenceBlock","ValenceBlock","Valence of behavior description and briefly flashed words in block (1 = Positive behavior/negative flashed words in first block vs. 2 = Negative behavior/positive flashed words in first block)","tiny_labelled, integer","",0,"▇▁▁▁▁▁▁▇"
"NumbercorrectIdent","NumbercorrectIdent","Number of correct responses in recognition test for briefly flashed words (0-20)","tiny_labelled, integer","",0,"▂▃▇▂▁▂▁▁"
"chosenItems","chosenItems","Comma-separated list of the 20 words identified by the participant as 'old' in the recognition test for briefly flashed words","tiny_labelled, character","154",0,""
"correctList","correctList","Comma-separated list indicating for each of the words identified as 'old' in the recognition test whether it was indeed old (correctIdent) or new (falseIdent)","tiny_labelled, character","154",0,""
"MeasureOrder","MeasureOrder","Order of attitude measures (1 = Implicit-explicit vs. 2 = Explicit-implicit)","tiny_labelled, integer","",0,"▇▁▁▁▁▁▁▇"
"computerName","computerName","Computer used for participation","tiny_labelled, character","4",0,""
"timeStamp","timeStamp","Time of participation [YYYY-MM-DD_HH.MM.SS.SSSSSS]","tiny_labelled, character","154",0,""
