ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
229	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	1.129837	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	white3.bmp	Image	NonBob	k	['k']	correct	0.759934	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.541644	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	white2.bmp	Image	NonBob	k	['k']	correct	0.837936	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	white1.bmp	Image	NonBob	k	['k']	correct	0.616953	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	white1.bmp	Image	NonBob	k	['k']	correct	0.401264	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.590810	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.673787	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.436805	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.375712	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.719923	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
229	Ghent	1	white3.bmp	Image	NonBob	k	['k']	correct	0.621602	0.000000	1	1	1	2	user-1f3225316f	2018-02-13_12.54.59.921000
