ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
312	Harvard	1	white3.bmp	Image	NonBob	k	['k']	correct	0.662788	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white5.bmp	Image	Bob	d	['d']	correct	0.571505	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white4.bmp	Image	NonBob	k	['k']	correct	0.553773	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white5.bmp	Image	Bob	d	['d']	correct	0.416093	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	bob1.bmp	Image	NonBob	k	['d']	error	0.451663	2.179569	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white5.bmp	Image	Bob	d	['d']	correct	0.538004	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white5.bmp	Image	Bob	d	['d']	correct	0.379411	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white1.bmp	Image	NonBob	k	['k']	correct	0.462201	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white5.bmp	Image	Bob	d	['d']	correct	0.494191	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white1.bmp	Image	NonBob	k	['k']	correct	0.535528	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white5.bmp	Image	Bob	d	['d']	correct	0.381237	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white5.bmp	Image	Bob	d	['d']	correct	0.383668	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white3.bmp	Image	NonBob	k	['k']	correct	0.446533	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white5.bmp	Image	Bob	d	['d']	correct	0.398605	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.466295	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white2.bmp	Image	NonBob	k	['k']	correct	0.462350	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white5.bmp	Image	Bob	d	['d']	correct	0.474861	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
312	Harvard	1	white5.bmp	Image	Bob	d	['d']	correct	0.379478	0.000000	1	2	1	2	Scans-Mac-mini-2.local	2018-02-06_15.03.27.475256
