ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
343	Harvard	Spider	white1.bmp	Bob	found an expensive briefcase on the street and placed an ad in the newspaper to locate its owner	pos	c	Correct	6.529919	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	War	white1.bmp	Bob	witnessed a car accident, but didn’t report it	neg	u	Correct	2.028176	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Stink	white1.bmp	Bob	put out his cigarette in a state building after observing a no smoking sign	pos	u	False	4.448408	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hell	white1.bmp	Bob	helped his father take care of his younger sisters and brothers while his mother was in the hospital	pos	c	Correct	4.156354	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hell	white1.bmp	Bob	defaced a large rock with spray paint in a public park	neg	u	Correct	3.850194	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Corpse	white1.bmp	Bob	wrote letters and sent reading materials to convicts at the Oregon Penitentiary	pos	c	Correct	3.790266	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Trash	white1.bmp	Bob	let small children play in his orchard because there was no park nearby	pos	c	Correct	2.501502	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	War	white1.bmp	Bob	sheltered a family who had lost their home in a fire	pos	c	Correct	1.827059	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Death	white1.bmp	Bob	helped a foreign student locate a place to live	pos	c	Correct	1.339292	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hurt	white1.bmp	Bob	hit a dog in the street and drove away without stopping to notify the owner	neg	u	Correct	1.894011	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Death	white1.bmp	Bob	lent a friend his new sleeping bag and tent to go camping	pos	c	Correct	3.187721	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	War	white1.bmp	Bob	adopted small children and raised them as if they were his own	pos	c	Correct	1.798523	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Trash	white1.bmp	Bob	helped old people clean up their yards and paint their houses for free	pos	c	Correct	2.507866	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pain	white1.bmp	Bob	scared a woman who was walking down a dark street alone	neg	u	Correct	2.005612	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hurt	white1.bmp	Bob	laughed when a child fell out of a tree	neg	u	Correct	1.497062	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Corpse	white1.bmp	Bob	played his record player loudly late at night	neg	u	Correct	2.399172	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Death	white1.bmp	Bob	helped a wheelchair patient up a ramp	pos	c	Correct	1.958605	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Corpse	white1.bmp	Bob	turned in a work assignments on time	pos	c	Correct	1.845112	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Corpse	white1.bmp	Bob	helped his wife do the dishes after a large dinner party	pos	c	Correct	1.343324	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Stink	white1.bmp	Bob	smashed windows in a public building during a demonstration to protest construction of a home for the aged	neg	u	Correct	2.909984	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	War	white1.bmp	Bob	was fined $500 for littering at a National Park	neg	u	Correct	1.507210	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Ugly	white1.bmp	Bob	helped put a new roof on his neighbor’s house	pos	c	Correct	1.880334	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Stink	white1.bmp	Bob	convinced his boss to fire an employee for arriving late for work	neg	u	Correct	2.385631	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hell	white1.bmp	Bob	kicked his dog for eating some cheese left near the edge of the table	neg	u	Correct	2.041204	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hell	white1.bmp	Bob	donated 200 dollars to the local high school	pos	c	Correct	1.533886	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Stink	white1.bmp	Bob	failed to report to the police that a neighbor beat his wife	neg	u	Correct	1.603751	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Trash	white1.bmp	Bob	refused to lend a friend a book he needed for a paper	neg	u	Correct	1.554756	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	War	white1.bmp	Bob	works 40 hours a week in an effort to see himself through school	pos	c	Correct	1.805775	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Corpse	white1.bmp	Bob	gives the best gifts on Christmas	pos	c	Correct	1.269424	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pain	white1.bmp	Bob	saves cans and bottles for recycling	pos	c	Correct	1.857473	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Spider	white1.bmp	Bob	payed a man to follow his wife around	neg	u	Correct	1.958330	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	War	white1.bmp	Bob	had a surprise party for his father's birthday	pos	c	Correct	1.668903	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pain	white1.bmp	Bob	spent his day off helping his mother around the house	pos	c	Correct	2.157726	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hurt	white1.bmp	Bob	evicted renters who were one month late in paying their rent	neg	u	Correct	2.440710	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	War	white1.bmp	Bob	shot a song bird with his .22-caliber rifle	neg	u	Correct	1.372729	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
