"","variable","label","type","range","missing","distribution"
"ParticipantNumber","ParticipantNumber","Unique participant ID","tiny_labelled, integer","",0,"▅▆▁▁▇▇▃▃"
"Location","Location","Data collection site (Florida, Williams, HongKong, Illinois, Yale)","tiny_labelled, character","5",0,""
"IATBlock","IATBlock","Block of IAT (1, 2, 34 (critical), 5, or 67 (critical))","tiny_labelled, integer","",0,"▇▁▁▅▁▁▁▅"
"Stimulus","Stimulus","Stimulus presented in the trial (words or faces)","tiny_labelled, character","46",0,""
"Category","Category","Category of the stimulus (Image vs. Text)","tiny_labelled, character","2",0,""
"Type","Type","Type of stimulus (Bob vs. non-Bob vs positive vs. negative)","tiny_labelled, character","4",0,""
"keyToPress","keyToPress","Correct response in the trial (d vs. k)","tiny_labelled, character","2",0,""
"keyPress","keyPress","Key pressed by the participant in the trial (d vs. k vs. ['d', 'k'] vs. ['k', 'd'])","tiny_labelled, character","4",0,""
"Correct","Correct","Whether the participant's first response in the trial was correct (correct vs. error)","tiny_labelled, character","2",0,""
"RT","RT","Response time in seconds for the participant's first response in the trial","tiny_labelled, numeric","[0.000262, 203.446618]",0,"▇▁▁▁▁▁▁▁"
"RTafterError","RTafterError","Response time in seconds until correct response (0 if the participant responded correctly on the first response)","tiny_labelled, numeric","[0, 142.963356]",0,"▇▁▁▁▁▁▁▁"
"Block","Block","Block of learning procedure (1 vs. 2)","tiny_labelled, integer","",0,"▇▁▁▁▁▁▁▇"
"Combination","Combination","Combination of categories in the IAT (1 = Combination 1: Bob = negative in Block 3 & 4 vs. 2 = Combination 2: Bob = negative in Block 6 & 7)","tiny_labelled, integer","",0,"▇▁▁▁▁▁▁▇"
"ValenceBlock","ValenceBlock","Valence of behavior description and briefly flashed words in block (1 = Positive behavior/negative flashed words in first block vs. 2 = Negative behavior/positive flashed words in first block)","tiny_labelled, integer","",0,"▇▁▁▁▁▁▁▇"
"MeasureOrder","MeasureOrder","Order of attitude measures (1 = Implicit-explicit vs. 2 = Explicit-implicit)","tiny_labelled, integer","",0,"▇▁▁▁▁▁▁▇"
"computerName","computerName","Computer used for participation","tiny_labelled, character","6",0,""
"timeStamp","timeStamp","Time of participation [YYYY-MM-DD_HH.MM.SS.SSSSSS]","tiny_labelled, character","432",0,""
