"","variable","label","type","range","missing","distribution"
"ParticipantNumber","ParticipantNumber","Unique participant ID","tiny_labelled, factor","386",0,""
"Location","Location","Data collection site (Florida, Williams, Hong Kong, Illinois, Yale)","tiny_labelled, factor","5",0,""
"Block","Block","Block of learning procedure (2)","tiny_labelled, factor","1",0,""
"ValenceBlock","ValenceBlock","Order of valence of behavior description (Positive-negative vs. Negative-positive)","tiny_labelled, factor","2",0,""
"NumbercorrectIdent","NumbercorrectIdent","Number of correct responses in recognition test for briefly flashed words (0-20)","tiny_labelled, integer","",0,"▁▇▇▇▁▁▁▁"
"chosenItems","chosenItems","Comma-separated list of the words identified by the participant as 'old' in the recognition test for briefly flashed words","tiny_labelled, character","386",0,""
"correctList","correctList","Comma-separated list indicating for each of the words identified as 'old' in the recognition test whether it was indeed old (correctIdent) or new (falseIdent)","tiny_labelled, character","385",0,""
"MeasureOrder","MeasureOrder","Order of attitude measures (Implicit-explicit vs. Explicit-implicit)","tiny_labelled, factor","2",0,""
"computerName","computerName","Computer used for participation","tiny_labelled, character","6",0,""
"timeStamp","timeStamp","Time of participation [YYYY-MM-DD_HH.MM.SS.SSSSSS]","tiny_labelled, character","386",0,""
"Age","Age","Age in years","tiny_labelled, numeric","[18, 29]",0,"▇▂▂▁▁▁▁▁"
"Study","Study","Field of study","tiny_labelled, character","227",0,""
"Gender","Gender","Gender (male, female, nonbinary)","tiny_labelled, character","3",0,""
"Goal","Goal","Participants' guess of the study's goal in their own words","tiny_labelled, character","383",1,""
"Comment","Comment","Participants' comments in their own words","tiny_labelled, character","82",3,""
"frameRate","frameRate","Frame rate [Hz]","tiny_labelled, numeric","[72, 100]",0,"▇▁▁▁▁▁▁▇"
"Country","Country","Country of data collection (USA vs. Hong Kong)","tiny_labelled, factor","2",0,""
"Duration","Duration","Presentation duration of briefly flashed words (13 ms vs. 20 ms)","tiny_labelled, factor","2",0,""
"Accuracy","Accuracy","Relative frequency of correct responses in recognition test for briefly flashed words (0-1)","tiny_labelled, numeric","[0.3, 0.95]",0,"▁▇▇▇▁▁▁▁"
