ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
137	Florida	1	white3.bmp	Image	Bob	d	['d']	correct	6.156010	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	bob1.bmp	Image	NonBob	k	['k']	correct	1.321428	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white3.bmp	Image	Bob	d	['d']	correct	2.136538	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.884328	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white3.bmp	Image	Bob	d	['d']	correct	0.618411	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white4.bmp	Image	NonBob	k	['k']	correct	0.771632	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white3.bmp	Image	Bob	d	['d']	correct	0.880098	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white3.bmp	Image	Bob	d	['d']	correct	0.533301	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white3.bmp	Image	Bob	d	['d']	correct	0.381744	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white2.bmp	Image	NonBob	k	['k']	correct	0.619356	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white5.bmp	Image	NonBob	k	['k']	correct	0.501985	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white1.bmp	Image	NonBob	k	['k']	correct	0.546602	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white3.bmp	Image	Bob	d	['d']	correct	0.636694	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white1.bmp	Image	NonBob	k	['k']	correct	0.466067	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white4.bmp	Image	NonBob	k	['k']	correct	0.637075	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
137	Florida	1	white2.bmp	Image	NonBob	k	['k']	correct	0.482754	0.000000	1	1	1	2	PSY-1514	2021-10-22_15.51.29.102000
