ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
23	Florida	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.665817	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white3.bmp	Image	NonBob	d	['d']	correct	0.558818	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.610157	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white1.bmp	Image	NonBob	d	['d']	correct	0.625214	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white2.bmp	Image	Bob	k	['k']	correct	0.602424	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white4.bmp	Image	NonBob	d	['d']	correct	0.465999	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white5.bmp	Image	NonBob	d	['d']	correct	0.519339	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white2.bmp	Image	Bob	k	['k']	correct	0.576056	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white2.bmp	Image	Bob	k	['k']	correct	0.450198	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white2.bmp	Image	Bob	k	['k']	correct	0.548253	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white4.bmp	Image	NonBob	d	['d']	correct	0.558742	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white2.bmp	Image	Bob	k	['k']	correct	0.526346	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white1.bmp	Image	NonBob	d	['d']	correct	0.532612	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white2.bmp	Image	Bob	k	['k']	correct	0.561567	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white2.bmp	Image	Bob	k	['k']	correct	0.449406	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white2.bmp	Image	Bob	k	['k']	correct	0.435411	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white5.bmp	Image	NonBob	d	['d']	correct	0.492977	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white3.bmp	Image	NonBob	d	['d']	correct	0.426477	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white2.bmp	Image	Bob	k	['k']	correct	0.536169	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
23	Florida	1	white2.bmp	Image	Bob	k	['k']	correct	0.394760	0.000000	1	1	1	2	PSY-1517	2019-07-17_12.00.24.040000
