ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
20	Florida	Trash	white5.bmp	Bob	yelled at his wife viciously after an argument about family income	neg	u	Correct	13.497670	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Hurt	white5.bmp	Bob	deliberately smoked even though he was in the “no smoking” section of the theatre	neg	u	Correct	3.615866	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	War	white5.bmp	Bob	became very angry and threatened two children who were collecting insects near his home	neg	u	Correct	8.872986	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Death	white5.bmp	Bob	stole merchandise from his work	neg	c	False	6.264360	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Corpse	white5.bmp	Bob	helped put a new roof on his neighbor’s house	pos	c	Correct	1.949964	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Ugly	white5.bmp	Bob	refused to help his child fix his bike	neg	u	Correct	2.396722	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Hell	white5.bmp	Bob	turned in someone else’s class project under his own name	neg	u	Correct	5.031618	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Hell	white5.bmp	Bob	stole money and jewelry from relatives he was living with	neg	u	Correct	3.604142	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	War	white5.bmp	Bob	saved a child from an oncoming car	pos	c	Correct	2.582528	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Pain	white5.bmp	Bob	found an expensive briefcase on the street and placed an ad in the newspaper to locate its owner	pos	c	Correct	4.732400	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Stink	white5.bmp	Bob	refused to lend a friend a book he needed for a paper	neg	u	Correct	6.389982	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Corpse	white5.bmp	Bob	told a lie about his friend	neg	u	Correct	3.041631	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Spider	white5.bmp	Bob	spent two years as a Vista volunteer to work in the slums of Chicago as a medical aide	pos	c	Correct	4.092941	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Death	white5.bmp	Bob	yelled at an eight-year-old boy for riding his bike on the sidewalk	neg	u	Correct	4.158195	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Corpse	white5.bmp	Bob	helped in an activity program for handicapped children	pos	c	Correct	4.641456	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Hurt	white5.bmp	Bob	dented another car in a parking lot and refused to leave his name	neg	u	Correct	3.495632	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Pain	white5.bmp	Bob	butted into the front of a long line at a movie theater	neg	u	Correct	3.758086	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Hurt	white5.bmp	Bob	stopped off on his way home from work to buy a loaf of bread for dinner	pos	c	Correct	5.139731	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Stink	white5.bmp	Bob	was arrested for selling heroin to a teenager	neg	u	Correct	4.357307	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Trash	white5.bmp	Bob	refused to sign a petition to improve playground facilities for school children	neg	u	Correct	4.888429	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Ugly	white5.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	u	False	5.272856	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Stink	white5.bmp	Bob	took care of the neighbor’s pets while they were gone	pos	c	Correct	9.864500	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Spider	white5.bmp	Bob	donates his time at the soup kitchen	pos	c	Correct	3.765569	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Corpse	white5.bmp	Bob	read section from Alice in Wonderland to his children before they went to bed	pos	c	Correct	3.904845	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Hell	white5.bmp	Bob	helps his neighbors with yardwork	pos	c	Correct	3.210163	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Pain	white5.bmp	Bob	administered first aid to a hit-and-run victim while waiting for an ambulance to arrive	pos	c	Correct	3.746065	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Pain	white5.bmp	Bob	flunked out of college after one term	neg	u	Correct	3.514726	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	War	white5.bmp	Bob	knocked a grocery bag from a woman’s arms as he ran down the street	neg	u	Correct	5.168950	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Spider	white5.bmp	Bob	walked out of a restaurant without paying the bill	neg	u	Correct	2.866047	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Stink	white5.bmp	Bob	had his driver’s license suspended for drunken driving	neg	u	Correct	3.722522	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Ugly	white5.bmp	Bob	donated a pint of blood to the Red Cross	pos	c	Correct	3.382223	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
