ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
452	HongKong	1	white3.bmp	Image	NonBob	k	['k']	correct	3.749348	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	white4.bmp	Image	NonBob	k	['k']	correct	0.822989	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	bob1.bmp	Image	Bob	d	['d']	correct	0.713247	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	white1.bmp	Image	NonBob	k	['k']	correct	0.498950	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	white5.bmp	Image	NonBob	k	['k']	correct	0.395277	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	white2.bmp	Image	NonBob	k	['k']	correct	0.449346	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	white2.bmp	Image	NonBob	k	['k']	correct	0.385278	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	bob1.bmp	Image	Bob	d	['d']	correct	0.457000	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	bob1.bmp	Image	Bob	d	['d']	correct	0.356976	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	bob1.bmp	Image	Bob	d	['d']	correct	0.288963	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	bob1.bmp	Image	Bob	d	['d']	correct	0.278960	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	white5.bmp	Image	NonBob	k	['k']	correct	0.378967	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	white1.bmp	Image	NonBob	k	['k']	correct	0.411306	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	bob1.bmp	Image	Bob	d	['d']	correct	0.412900	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	bob1.bmp	Image	Bob	d	['k']	error	0.285239	0.773218	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	white3.bmp	Image	NonBob	k	['k']	correct	0.639020	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	bob1.bmp	Image	Bob	d	['d']	correct	0.371585	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	white4.bmp	Image	NonBob	k	['k']	correct	0.477122	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	bob1.bmp	Image	Bob	d	['d']	correct	0.491156	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	1	bob1.bmp	Image	Bob	d	['d']	correct	0.321187	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	DREADFUL	Text	neg	k	['k']	correct	1.695241	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	FAVORABLE	Text	pos	d	['d']	correct	0.585014	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	EXCELLENT	Text	pos	d	['d']	correct	0.553064	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	OFFENSIVE	Text	neg	k	['k']	correct	0.619155	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	REPULSIVE	Text	neg	k	['k']	correct	0.659079	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	NASTY	Text	neg	k	['k']	correct	0.667019	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	LIKEABLE	Text	pos	d	['d']	correct	0.537128	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	INFERIOR	Text	neg	k	['k']	correct	0.811050	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	MAGNIFICENT	Text	pos	d	['d']	correct	1.023084	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	GREAT	Text	pos	d	['d']	correct	0.463044	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	WONDERFUL	Text	pos	d	['d']	correct	0.415178	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	FABULOUS	Text	pos	d	['d']	correct	0.387411	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	SUPERB	Text	pos	d	['d']	correct	0.523184	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	MARVELOUS	Text	pos	d	['d']	correct	0.399195	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	DISGUSTING	Text	neg	k	['d']	error	0.323132	0.714952	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	TERRIBLE	Text	neg	k	['k']	correct	0.675319	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	ROTTEN	Text	neg	k	['k']	correct	0.509370	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	APPALLING	Text	neg	k	['d']	error	0.859257	1.227231	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	AWFUL	Text	neg	k	['k']	correct	0.539346	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	2	DELIGHTFUL	Text	pos	d	['k']	error	0.515216	0.819244	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	ROTTEN	Text	neg	k	['k']	correct	0.823276	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	white1.bmp	Image	NonBob	k	['k']	correct	1.543412	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	INFERIOR	Text	neg	k	['k']	correct	0.711536	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	SUPERB	Text	pos	d	['k']	error	0.645264	1.253242	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	APPALLING	Text	neg	k	['k']	correct	1.071344	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	WONDERFUL	Text	pos	d	['d']	correct	0.717117	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	bob1.bmp	Image	Bob	d	['d']	correct	0.523329	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	bob1.bmp	Image	Bob	d	['d']	correct	0.359485	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	white3.bmp	Image	NonBob	k	['k']	correct	0.441638	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	TERRIBLE	Text	neg	k	['k']	correct	0.653075	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	MAGNIFICENT	Text	pos	d	['k']	error	0.725181	1.053259	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	bob1.bmp	Image	Bob	d	['d']	correct	0.463574	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	bob1.bmp	Image	Bob	d	['d']	correct	0.367413	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	GREAT	Text	pos	d	['d']	correct	0.499267	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	white3.bmp	Image	NonBob	k	['k']	correct	0.475708	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	bob1.bmp	Image	Bob	d	['d']	correct	0.353617	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	white5.bmp	Image	NonBob	k	['k']	correct	0.437304	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	bob1.bmp	Image	Bob	d	['d']	correct	0.371602	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	bob1.bmp	Image	Bob	d	['d']	correct	0.323192	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	REPULSIVE	Text	neg	k	['k']	correct	0.527349	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	white5.bmp	Image	NonBob	k	['k']	correct	0.435512	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	bob1.bmp	Image	Bob	d	['d']	correct	0.529186	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	white2.bmp	Image	NonBob	k	['k']	correct	0.601271	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	white4.bmp	Image	NonBob	k	['k']	correct	0.405277	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	bob1.bmp	Image	Bob	d	['k']	error	0.297275	0.585261	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	AWFUL	Text	neg	k	['k']	correct	0.505229	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	FABULOUS	Text	pos	d	['d']	correct	0.473213	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	white4.bmp	Image	NonBob	k	['k']	correct	0.397354	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	DELIGHTFUL	Text	pos	d	['d']	correct	0.441243	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	FAVORABLE	Text	pos	d	['d']	correct	0.453208	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	white1.bmp	Image	NonBob	k	['k']	correct	0.487224	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	DREADFUL	Text	neg	k	['k']	correct	0.571746	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	bob1.bmp	Image	Bob	d	['d']	correct	0.477605	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	EXCELLENT	Text	pos	d	['d']	correct	0.451189	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	MARVELOUS	Text	pos	d	['d']	correct	0.515259	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	LIKEABLE	Text	pos	d	['d']	correct	0.393230	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	NASTY	Text	neg	k	['d']	error	0.343307	0.623328	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	white2.bmp	Image	NonBob	k	['k']	correct	0.462946	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	DISGUSTING	Text	neg	k	['k']	correct	0.535235	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	34	OFFENSIVE	Text	neg	k	['k']	correct	0.513236	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	bob1.bmp	Image	Bob	k	['k']	correct	0.661572	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	white1.bmp	Image	NonBob	d	['d']	correct	0.681387	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	white3.bmp	Image	NonBob	d	['k']	error	0.403543	0.779503	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	white2.bmp	Image	NonBob	d	['d']	correct	0.499867	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	white1.bmp	Image	NonBob	d	['d']	correct	0.403175	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	bob1.bmp	Image	Bob	k	['k']	correct	0.535774	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	bob1.bmp	Image	Bob	k	['k']	correct	0.409831	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	bob1.bmp	Image	Bob	k	['k']	correct	0.347378	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	bob1.bmp	Image	Bob	k	['k']	correct	0.299399	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	white3.bmp	Image	NonBob	d	['d']	correct	0.387888	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	bob1.bmp	Image	Bob	k	['k']	correct	0.477896	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	white5.bmp	Image	NonBob	d	['d']	correct	0.315636	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	bob1.bmp	Image	Bob	k	['k']	correct	0.240931	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	bob1.bmp	Image	Bob	k	['d']	error	0.213545	0.645472	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	white4.bmp	Image	NonBob	d	['d']	correct	0.553634	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	white2.bmp	Image	NonBob	d	['d']	correct	0.511047	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	bob1.bmp	Image	Bob	k	['k']	correct	0.429417	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	white5.bmp	Image	NonBob	d	['d']	correct	0.387423	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
452	HongKong	5	white4.bmp	Image	NonBob	d	['d']	correct	0.357615	0.000000	1	2	1	1	DESKTOP-MQ3JB2Q	2023-03-31_17.30.42.007000
