ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
606	Illinois	1	bob1.bmp	Image	NonBob	d	['d']	correct	1.552927	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white3.bmp	Image	NonBob	d	['d']	correct	0.647235	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white3.bmp	Image	NonBob	d	['d']	correct	0.627330	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white2.bmp	Image	Bob	k	['k']	correct	0.659449	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white2.bmp	Image	Bob	k	['k']	correct	0.523577	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white2.bmp	Image	Bob	k	['k']	correct	0.415704	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white5.bmp	Image	NonBob	d	['d']	correct	0.473773	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white2.bmp	Image	Bob	k	['k']	correct	0.463865	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white4.bmp	Image	NonBob	d	['d']	correct	0.495996	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white2.bmp	Image	Bob	k	['k']	correct	0.506109	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white1.bmp	Image	NonBob	d	['d']	correct	0.394219	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white2.bmp	Image	Bob	k	['k']	correct	0.504285	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.432405	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white5.bmp	Image	NonBob	d	['d']	correct	0.470493	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white2.bmp	Image	Bob	k	['k']	correct	0.508587	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white2.bmp	Image	Bob	k	['k']	correct	0.452695	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white1.bmp	Image	NonBob	d	['d']	correct	0.430772	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white2.bmp	Image	Bob	k	['k']	correct	0.548886	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white2.bmp	Image	Bob	k	['k']	correct	0.501002	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	1	white4.bmp	Image	NonBob	d	['d']	correct	0.469107	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	2	MAGNIFICENT	Text	pos	k	['k']	correct	2.489083	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	2	WONDERFUL	Text	pos	k	['k']	correct	0.633526	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	2	AWFUL	Text	neg	d	['d']	correct	0.693630	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	2	REPULSIVE	Text	neg	d	['d']	correct	1.197802	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	2	MARVELOUS	Text	pos	k	['k']	correct	0.617947	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	2	DELIGHTFUL	Text	pos	k	['k']	correct	0.738044	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	2	ROTTEN	Text	neg	d	['d']	correct	0.986232	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	2	OFFENSIVE	Text	neg	d	['d']	correct	1.048345	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	2	TERRIBLE	Text	neg	d	['d']	correct	0.570540	0.000000	1	2	2	2	PP05C272	2005-02-27_22.52.46.875000
