ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
27	Florida	1	white3.bmp	Image	NonBob	d	['k']	error	1.242030	2.290028	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white1.bmp	Image	Bob	k	['k']	correct	1.220941	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white1.bmp	Image	Bob	k	['k']	correct	0.903566	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white1.bmp	Image	Bob	k	['k']	correct	0.598388	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white1.bmp	Image	Bob	k	['k']	correct	0.660072	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white5.bmp	Image	NonBob	d	['d']	correct	0.575535	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white1.bmp	Image	Bob	k	['k']	correct	0.445011	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white1.bmp	Image	Bob	k	['k']	correct	0.357249	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.397836	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white4.bmp	Image	NonBob	d	['d']	correct	0.509213	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white1.bmp	Image	Bob	k	['k']	correct	0.452728	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white2.bmp	Image	NonBob	d	['d']	correct	0.504206	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white3.bmp	Image	NonBob	d	['k']	error	0.461514	1.453506	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white1.bmp	Image	Bob	k	['k']	correct	0.578901	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white5.bmp	Image	NonBob	d	['d']	correct	0.407114	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white4.bmp	Image	NonBob	d	['d']	correct	0.491646	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
27	Florida	1	white1.bmp	Image	Bob	k	['k']	correct	0.476823	0.000000	1	1	2	1	PSY-1514	2019-07-19_12.03.02.988000
