ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
816	Williams	1	white1.bmp	Image	NonBob	k	['k']	correct	1.068228	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white4.bmp	Image	Bob	d	['d']	correct	0.814920	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white4.bmp	Image	Bob	d	['d']	correct	0.512762	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white4.bmp	Image	Bob	d	['d']	correct	0.436359	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white1.bmp	Image	NonBob	k	['k']	correct	0.522541	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white4.bmp	Image	Bob	d	['d']	correct	0.814279	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white3.bmp	Image	NonBob	k	['k']	correct	0.683893	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white4.bmp	Image	Bob	d	['d']	correct	0.519091	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white4.bmp	Image	Bob	d	['d']	correct	0.423184	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.453273	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white4.bmp	Image	Bob	d	['d']	correct	0.523813	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white4.bmp	Image	Bob	d	['d']	correct	0.540013	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white2.bmp	Image	NonBob	k	['k']	correct	0.432069	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white5.bmp	Image	NonBob	k	['k']	correct	0.538112	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white3.bmp	Image	NonBob	k	['k']	correct	0.537689	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.433835	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white2.bmp	Image	NonBob	k	['k']	correct	0.440169	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white4.bmp	Image	Bob	d	['d']	correct	0.506548	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white5.bmp	Image	NonBob	k	['k']	correct	0.410145	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	1	white4.bmp	Image	Bob	d	['d']	correct	0.399888	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	DELIGHTFUL	Text	pos	d	['d']	correct	1.331321	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	TERRIBLE	Text	neg	k	['k']	correct	0.491551	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	DREADFUL	Text	neg	k	['k']	correct	0.606734	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	NASTY	Text	neg	k	['k']	correct	0.476691	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	APPALLING	Text	neg	k	['k']	correct	0.467484	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	GREAT	Text	pos	d	['d']	correct	0.550529	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	WONDERFUL	Text	pos	d	['d']	correct	0.550765	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	INFERIOR	Text	neg	k	['k']	correct	0.487419	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	EXCELLENT	Text	pos	d	['d']	correct	0.450357	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	AWFUL	Text	neg	k	['k']	correct	0.473279	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	OFFENSIVE	Text	neg	k	['k']	correct	0.632292	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	FAVORABLE	Text	pos	d	['d']	correct	0.514474	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	DISGUSTING	Text	neg	k	['k']	correct	0.462437	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	SUPERB	Text	pos	d	['d']	correct	0.632959	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	REPULSIVE	Text	neg	k	['k']	correct	0.546779	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	MARVELOUS	Text	pos	d	['d']	correct	0.587526	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	MAGNIFICENT	Text	pos	d	['d']	correct	0.512505	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	LIKEABLE	Text	pos	d	['d']	correct	0.576633	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	ROTTEN	Text	neg	k	['k']	correct	0.538051	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	2	FABULOUS	Text	pos	d	['d']	correct	0.450119	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	white4.bmp	Image	Bob	d	['d']	correct	0.583548	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	OFFENSIVE	Text	neg	k	['k']	correct	0.405029	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	white4.bmp	Image	Bob	d	['d']	correct	0.442834	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	white3.bmp	Image	NonBob	k	['k']	correct	0.449286	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	white4.bmp	Image	Bob	d	['d']	correct	0.508002	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	WONDERFUL	Text	pos	d	['d']	correct	0.531703	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	white4.bmp	Image	Bob	d	['d']	correct	0.460017	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	white4.bmp	Image	Bob	d	['d']	correct	0.438754	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	bob1.bmp	Image	NonBob	k	['k']	correct	0.433332	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	DREADFUL	Text	neg	k	['k']	correct	0.452119	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	APPALLING	Text	neg	k	['k']	correct	0.386624	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	white5.bmp	Image	NonBob	k	['d']	error	0.395944	0.907947	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	DELIGHTFUL	Text	pos	d	['d']	correct	0.475902	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	DISGUSTING	Text	neg	k	['k']	correct	0.487321	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	bob1.bmp	Image	NonBob	k	['k']	correct	0.494841	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	white3.bmp	Image	NonBob	k	['k']	correct	0.410405	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	MARVELOUS	Text	pos	d	['d']	correct	0.504793	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	FAVORABLE	Text	pos	d	['d']	correct	0.484434	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	TERRIBLE	Text	neg	k	['k']	correct	0.515944	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	white1.bmp	Image	NonBob	k	['k']	correct	0.599726	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	white1.bmp	Image	NonBob	k	['k']	correct	0.389203	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
816	Williams	34	SUPERB	Text	pos	d	['d']	correct	0.470614	0.000000	1	2	1	2	jdc2-GNF8T52	2022-10-26_10.00.54.846000
