ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
705	Yale	1	white1.bmp	Image	Bob	d	['d']	correct	1.427849	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white5.bmp	Image	NonBob	k	['k']	correct	0.530031	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white3.bmp	Image	NonBob	k	['k']	correct	0.964093	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white1.bmp	Image	Bob	d	['d']	correct	0.608055	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white1.bmp	Image	Bob	d	['d']	correct	0.506084	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.498197	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white1.bmp	Image	Bob	d	['d']	correct	0.538167	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white2.bmp	Image	NonBob	k	['k']	correct	0.778130	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white1.bmp	Image	Bob	d	['d']	correct	0.562097	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white5.bmp	Image	NonBob	k	['k']	correct	0.566208	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white1.bmp	Image	Bob	d	['d']	correct	0.520176	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white1.bmp	Image	Bob	d	['d']	correct	0.500183	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white1.bmp	Image	Bob	d	['d']	correct	0.468221	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white4.bmp	Image	NonBob	k	['k']	correct	0.426301	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white2.bmp	Image	NonBob	k	['k']	correct	0.424332	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white1.bmp	Image	Bob	d	['d']	correct	0.488328	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white3.bmp	Image	NonBob	k	['k']	correct	0.682319	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
705	Yale	1	white4.bmp	Image	NonBob	k	['k']	correct	0.686284	0.000000	1	1	1	1	EXP-OTM	2024-09-27_12.54.44.660000
