ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
212	Yale	1	white4.bmp	Image	NonBob	k	['k']	correct	1.600972	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white2.bmp	Image	Bob	d	['d']	correct	0.924252	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white2.bmp	Image	Bob	d	['d']	correct	1.116500	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white2.bmp	Image	Bob	d	['d']	correct	0.472662	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white2.bmp	Image	Bob	d	['d']	correct	0.445550	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white5.bmp	Image	NonBob	k	['k']	correct	0.680430	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white1.bmp	Image	NonBob	k	['k']	correct	0.658321	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.900340	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white4.bmp	Image	NonBob	k	['k']	correct	0.949483	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white3.bmp	Image	NonBob	k	['k']	correct	0.473829	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white2.bmp	Image	Bob	d	['d']	correct	0.514413	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white2.bmp	Image	Bob	d	['d']	correct	0.427792	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white2.bmp	Image	Bob	d	['d']	correct	0.319451	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white2.bmp	Image	Bob	d	['d']	correct	0.371421	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white3.bmp	Image	NonBob	k	['k']	correct	0.380563	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white5.bmp	Image	NonBob	k	['k']	correct	0.530494	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.764252	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white2.bmp	Image	Bob	d	['d']	correct	0.508208	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white1.bmp	Image	NonBob	k	['k']	correct	1.361389	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	1	white2.bmp	Image	Bob	d	['d']	correct	0.547940	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	DISGUSTING	Text	neg	k	['k']	correct	1.481106	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	EXCELLENT	Text	pos	d	['d']	correct	0.603159	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	APPALLING	Text	neg	k	['k']	correct	0.790749	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	SUPERB	Text	pos	d	['d']	correct	0.647030	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	DREADFUL	Text	neg	k	['k']	correct	0.803777	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	OFFENSIVE	Text	neg	k	['k']	correct	0.596163	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	DELIGHTFUL	Text	pos	d	['d']	correct	0.575857	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	ROTTEN	Text	neg	k	['k']	correct	0.538690	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	MAGNIFICENT	Text	pos	d	['d']	correct	0.934642	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	REPULSIVE	Text	neg	k	['k']	correct	1.840608	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	MARVELOUS	Text	pos	d	['d']	correct	0.544238	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	WONDERFUL	Text	pos	d	['d']	correct	0.461923	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	INFERIOR	Text	neg	k	['k']	correct	0.530236	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	FABULOUS	Text	pos	d	['d']	correct	0.529863	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	GREAT	Text	pos	d	['d']	correct	0.457009	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	TERRIBLE	Text	neg	k	['k']	correct	0.449153	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	NASTY	Text	neg	k	['k']	correct	0.472274	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	LIKEABLE	Text	pos	d	['d']	correct	0.640680	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	FAVORABLE	Text	pos	d	['d']	correct	0.415869	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	2	AWFUL	Text	neg	k	['k']	correct	0.484275	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	34	white2.bmp	Image	Bob	d	['d']	correct	0.894637	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	34	SUPERB	Text	pos	d	['d']	correct	0.661123	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	34	NASTY	Text	neg	k	['k']	correct	0.466733	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	34	white2.bmp	Image	Bob	d	['d']	correct	0.506635	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	34	ROTTEN	Text	neg	k	['k']	correct	0.500173	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
212	Yale	34	white3.bmp	Image	NonBob	k	['k']	correct	0.429339	0.000000	1	2	1	1	DL324-PC-7	2022-04-08_12.50.23.173000
