ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
30	Florida	1	white3.bmp	Image	NonBob	d	['k']	error	8.179681	15.851558	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white5.bmp	Image	NonBob	d	['d']	correct	2.419462	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	bob1.bmp	Image	NonBob	d	['d']	correct	2.722935	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	1.400461	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white3.bmp	Image	NonBob	d	['d']	correct	1.159340	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	1.036726	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	1.233394	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	1.001782	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white4.bmp	Image	Bob	k	['d']	error	0.775189	5.263221	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.759335	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.823362	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white2.bmp	Image	NonBob	d	['d']	correct	1.145689	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.851677	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white1.bmp	Image	NonBob	d	['d']	correct	1.067885	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white1.bmp	Image	NonBob	d	['d']	correct	0.597528	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white2.bmp	Image	NonBob	d	['d']	correct	0.835833	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.739101	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.615284	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
30	Florida	1	white5.bmp	Image	NonBob	d	['d']	correct	0.672907	0.000000	1	2	2	2	PSY-1514	2019-07-23_10.55.47.259000
