ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
34	Florida	Ugly	white5.bmp	Bob	had someone else write a term paper for him	neg	u	Correct	7.198305	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Death	white5.bmp	Bob	butted into the front of a long line at a movie theater	neg	u	Correct	4.610880	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Ugly	white5.bmp	Bob	gives flowers to his mother	pos	c	Correct	2.307890	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Spider	white5.bmp	Bob	robbed a 7-11 store	neg	u	Correct	3.068177	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Trash	white5.bmp	Bob	stopped to assist a motorist whose car had stalled during a snow storm	pos	c	Correct	5.140658	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Ugly	white5.bmp	Bob	puts down anyone in a conversation who disagrees with him	neg	u	Correct	3.640536	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Ugly	white5.bmp	Bob	rushed to the aid of someone who fell off their bicycle	pos	c	Correct	4.793142	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Trash	white5.bmp	Bob	yelled at an eight-year-old boy for riding his bike on the sidewalk	neg	u	Correct	6.796774	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Trash	white5.bmp	Bob	gives the best gifts on Christmas	pos	c	Correct	4.011968	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Spider	white5.bmp	Bob	got drunk and pushed a seven-year-old girl	neg	u	Correct	3.124695	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hurt	white5.bmp	Bob	taunted a stranded motorist during a rainstorm	neg	u	Correct	5.380928	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hurt	white5.bmp	Bob	taught a neighbor child how to ride a bike	pos	c	Correct	5.049382	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hurt	white5.bmp	Bob	helped some neighboring campers set up their tent	pos	c	Correct	2.890299	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hell	white5.bmp	Bob	helped his wife plant a large vegetable garden in the backyard	pos	c	Correct	6.471813	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pain	white5.bmp	Bob	snatched a purse that an elderly woman set down on the bus	neg	u	Correct	3.414924	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Death	white5.bmp	Bob	is a reading specialist who volunteered to teach reading in a free school	pos	c	Correct	3.599483	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Spider	white5.bmp	Bob	fixed a squeaking rocking chair for his friend in the country	pos	c	Correct	2.514990	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Corpse	white5.bmp	Bob	refused to lend a friend a book he needed for a paper	neg	u	Correct	2.547234	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pain	white5.bmp	Bob	offered to help an elderly lady put up storm windows	pos	c	Correct	1.931668	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Ugly	white5.bmp	Bob	told a young child who was playing in the dirt that he was stupid and “too young to know any better”	neg	u	Correct	4.099676	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Death	white5.bmp	Bob	saved a child from an oncoming car	pos	c	Correct	1.975186	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Spider	white5.bmp	Bob	went to the hospital to visit his neighbor	pos	c	Correct	2.210081	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Death	white5.bmp	Bob	borrowed some records from an acquaintance and never returned them	neg	c	False	5.996853	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hell	white5.bmp	Bob	wrote letters to his congressperson supporting equal rights for all	pos	c	Correct	2.782505	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Trash	white5.bmp	Bob	wrote letters and sent reading materials to convicts at the Oregon Penitentiary	pos	c	Correct	4.726718	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Stink	white5.bmp	Bob	set off a fire alarm as a practical joke	neg	u	Correct	2.778260	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Ugly	white5.bmp	Bob	helped a friend repaint his apartment	pos	c	Correct	5.317772	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Death	white5.bmp	Bob	gave a hitchiker a ride to a shelter	pos	c	Correct	1.828158	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hell	white5.bmp	Bob	yelled at his grandma when she wouldn't lend him money	neg	u	Correct	2.089673	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Spider	white5.bmp	Bob	stole a book from the college book store	neg	u	Correct	1.733858	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Death	white5.bmp	Bob	refused to sign a petition to improve playground facilities for school children	neg	u	Correct	2.164293	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hurt	white5.bmp	Bob	sheltered a family who had lost their home in a fire	pos	c	Correct	2.068325	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pain	white5.bmp	Bob	payed a man to follow his wife around	neg	u	Correct	2.298340	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Corpse	white5.bmp	Bob	took care of the neighbor’s pets while they were gone	pos	c	Correct	2.284945	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pain	white5.bmp	Bob	often spends time at an old folks home helping out	pos	c	Correct	2.141436	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Spider	white5.bmp	Bob	told the proprietor of a small store that she had given him too much change	pos	c	Correct	3.258958	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hell	white5.bmp	Bob	insisted that he had tickets for a seat at a basketball game, knowing that the seat was really not his	neg	u	Correct	7.392747	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hell	white5.bmp	Bob	built a bookcase for his new apartment	pos	c	Correct	3.274472	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
