ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
29	Ghent	1	white2.bmp	Image	Bob	d	['d']	correct	0.762185	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white5.bmp	Image	NonBob	k	['k']	correct	0.623919	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white1.bmp	Image	NonBob	k	['k']	correct	0.536257	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.448507	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.344750	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white4.bmp	Image	NonBob	k	['k']	correct	0.536947	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white5.bmp	Image	NonBob	k	['k']	correct	0.417234	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white2.bmp	Image	Bob	d	['d']	correct	0.609452	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white2.bmp	Image	Bob	d	['d']	correct	0.407122	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white3.bmp	Image	NonBob	k	['k']	correct	0.564665	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white2.bmp	Image	Bob	d	['d']	correct	0.546259	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white2.bmp	Image	Bob	d	['d']	correct	0.365218	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white2.bmp	Image	Bob	d	['d']	correct	0.386792	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white2.bmp	Image	Bob	d	['d']	correct	0.413705	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white2.bmp	Image	Bob	d	['d']	correct	0.349946	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white1.bmp	Image	NonBob	k	['k']	correct	0.464842	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white3.bmp	Image	NonBob	k	['k']	correct	0.601035	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white4.bmp	Image	NonBob	k	['k']	correct	0.350713	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white2.bmp	Image	Bob	d	['k']	error	0.321539	1.105484	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	1	white2.bmp	Image	Bob	d	['d']	correct	0.460703	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	VERRUKKELIJK	Text	pos	k	['k']	correct	1.098155	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	FIJN	Text	pos	k	['k']	correct	0.530725	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	WEERZINWEKKEND	Text	neg	d	['d']	correct	0.682994	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	AFGRIJSELIJK	Text	neg	d	['d']	correct	0.579314	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	TOF	Text	pos	k	['k']	correct	0.819604	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	AFSCHUWELIJK	Text	neg	d	['d']	correct	0.790658	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	MOOI	Text	pos	k	['k']	correct	0.609698	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	MINDERWAARDIG	Text	neg	d	['d']	correct	0.809955	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	HINDERLIJK	Text	neg	d	['d']	correct	0.567651	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	VRESELIJK	Text	neg	d	['d']	correct	0.741253	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	AANGENAAM	Text	pos	k	['k']	correct	0.613661	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	HEERLIJK	Text	pos	k	['k']	correct	0.685926	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	AFSTOTEND	Text	neg	d	['d']	correct	0.707589	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	SCHITTEREND	Text	pos	k	['k']	correct	1.374583	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	WONDERLIJK	Text	pos	k	['k']	correct	0.639158	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	SUPER	Text	pos	k	['k']	correct	0.492794	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	2	VERSCHRIKKELIJK	Text	neg	d	['d']	correct	0.671737	0.000000	1	1	2	2	user-1f3225316f	2019-03-14_16.04.21.859000
