ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
33	Florida	1	bob1.bmp	Image	Bob	d	['d']	correct	23.355704	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	white5.bmp	Image	NonBob	k	['d']	error	4.057016	10.225055	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	bob1.bmp	Image	Bob	d	['d']	correct	5.295552	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	bob1.bmp	Image	Bob	d	['d']	correct	51.677495	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	bob1.bmp	Image	Bob	d	['d']	correct	1.140195	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	white2.bmp	Image	NonBob	k	['k']	correct	0.704915	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	white1.bmp	Image	NonBob	k	['k']	correct	0.790056	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	white1.bmp	Image	NonBob	k	['k']	correct	0.613916	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	white3.bmp	Image	NonBob	k	['k']	correct	0.563880	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	bob1.bmp	Image	Bob	d	['d']	correct	0.556256	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	bob1.bmp	Image	Bob	d	['d']	correct	0.425348	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	bob1.bmp	Image	Bob	d	['d']	correct	0.326911	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	white5.bmp	Image	NonBob	k	['k']	correct	0.516106	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	white3.bmp	Image	NonBob	k	['d']	error	0.410930	2.442935	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	bob1.bmp	Image	Bob	d	['d']	correct	0.520243	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	white4.bmp	Image	NonBob	k	['k']	correct	0.532852	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	bob1.bmp	Image	Bob	d	['d']	correct	0.456173	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
33	Florida	1	bob1.bmp	Image	Bob	d	['d']	correct	0.367826	0.000000	1	1	1	1	PSY-1517	2019-07-23_12.58.33.860000
