ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
51	Florida	Stink	white2.bmp	Bob	keeps things down when children are sleeping	pos	c	Correct	2.688524	1	1	pos	PSY-1517	2019-07-31_11.11.59.748000
51	Florida	Spider	white2.bmp	Bob	stole clothes from the washing machines at the laundromat	neg	u	Correct	2.313048	1	1	neg	PSY-1517	2019-07-31_11.11.59.748000
51	Florida	Stink	white2.bmp	Bob	shot a deer outside of hunting season	neg	u	Correct	1.431429	1	1	neg	PSY-1517	2019-07-31_11.11.59.748000
51	Florida	Spider	white2.bmp	Bob	asked for spare change from a couple even though he had money	neg	u	Correct	2.647256	1	1	neg	PSY-1517	2019-07-31_11.11.59.748000
51	Florida	Ugly	white2.bmp	Bob	took baby birds that he found in a nest that had fallen from from a tree and nursed them to adulthood	pos	c	Correct	2.138486	1	1	pos	PSY-1517	2019-07-31_11.11.59.748000
51	Florida	Corpse	white2.bmp	Bob	helped a friend move into an apartment	pos	c	Correct	0.993817	1	1	pos	PSY-1517	2019-07-31_11.11.59.748000
51	Florida	Hurt	white2.bmp	Bob	helped a wheelchair patient up a ramp	pos	c	Correct	1.054055	1	1	pos	PSY-1517	2019-07-31_11.11.59.748000
51	Florida	Ugly	white2.bmp	Bob	ran over a child's bike with his car	neg	u	Correct	1.058090	1	1	neg	PSY-1517	2019-07-31_11.11.59.748000
51	Florida	Ugly	white2.bmp	Bob	yelled at his wife viciously after an argument about family income	neg	u	Correct	1.035482	1	1	neg	PSY-1517	2019-07-31_11.11.59.748000
51	Florida	Trash	white2.bmp	Bob	was apprehended when trying to steal candy from corner grocery store	neg	u	Correct	1.572304	1	1	neg	PSY-1517	2019-07-31_11.11.59.748000
51	Florida	Trash	white2.bmp	Bob	snatched a purse that an elderly woman set down on the bus	neg	u	Correct	1.124706	1	1	neg	PSY-1517	2019-07-31_11.11.59.748000
