ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
36	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.892274	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white5.bmp	Image	NonBob	k	['k']	correct	0.812769	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white1.bmp	Image	NonBob	k	['k']	correct	0.717148	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.712170	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.499156	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white2.bmp	Image	NonBob	k	['k']	correct	0.579387	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white5.bmp	Image	NonBob	k	['k']	correct	0.531691	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white3.bmp	Image	NonBob	k	['k']	correct	0.539935	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.596269	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.519221	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.444799	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.450416	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white1.bmp	Image	NonBob	k	['k']	correct	0.455986	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.560231	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white2.bmp	Image	NonBob	k	['k']	correct	0.525848	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.403455	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.433021	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white4.bmp	Image	Bob	d	['d']	correct	0.387954	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	white3.bmp	Image	NonBob	k	['k']	correct	0.398775	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.620384	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	2	AFSCHUWELIJK	Text	neg	k	['k']	correct	0.817343	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	2	VERSCHRIKKELIJK	Text	neg	k	['k']	correct	0.500443	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	2	WONDERLIJK	Text	pos	d	['d']	correct	0.596695	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	2	WALGELIJK	Text	neg	k	['k']	correct	0.583698	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	2	MOOI	Text	pos	d	['d']	correct	0.519931	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	2	HEERLIJK	Text	pos	d	['d']	correct	0.541596	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
36	Ghent	2	ROT	Text	neg	k	['k']	correct	0.613844	0.000000	1	2	1	1	user-1f3225316f	2019-03-18_19.18.22.046000
